State,County,Civilian labor force 2007,Employed 2007,Civilian labor force 2007,Employed 2007,Unemployed 2007,Unemployment rate 2007,Civilian labor force 2008,Employed 2008,Unemployed 2008,Unemployment rate 2008,Civilian labor force 2009,Employed 2009,Unemployed 2009,Unemployment rate 2009,Civilian abor force 2010,Employed 2010,Unemployed 2010,Unemployment rate 2010,Civilian labor force 2011,Employed 2011,Unemployed 2011,Unemploymen trate 2011,Civilian labor force 2012,Employed 2012,Unemployed 2012,Unemployment rate 2012,Civilian labor force 2013,Employed 2013,Unemployed 2013,Unemployment rate 2013,Civilian labor force 2014,Employed 2014,Unemployed 2014,Unemployment rate 2014,Civilian labor force 2015,Employed 2015,Unemployed 2015,Unemployment rate 2015,Civilian labor force 2016,Employed 2016,Unemployed 2016,Unemployment rate 2016,Civilian labor force 2017,Employed 2017,Unemployed 2017,Unemployment rate 2017,Civilian labor force 2018,Employed 2018,Unemployed 2018,Unemployment rate 2018,Median Household Income 2017,Income % of State Total 2017
AL,"Clay County, AL",6113.00,5775.00,6113.00,5775.00,338.00,5.50,5733.00,5279.00,454.00,7.90,5643.00,4703.00,940.00,16.70,5851.00,5005.00,846.00,14.50,5598.00,4935.00,663.00,11.80,5413.00,4905.00,508.00,9.40,5393.00,4943.00,450.00,8.30,5511.00,5117.00,394.00,7.10,5551.00,5211.00,340.00,6.10,5634.00,5300.00,334.00,5.90,5796.00,5544.00,252.00,4.30,5963.00,5730.00,233.00,3.90,"$39,642",82.30
AL,"Cleburne County, AL",6483.00,6246.00,6483.00,6246.00,237.00,3.70,6557.00,6225.00,332.00,5.10,6514.00,5851.00,663.00,10.20,6033.00,5429.00,604.00,10.00,5939.00,5365.00,574.00,9.70,5838.00,5358.00,480.00,8.20,5830.00,5383.00,447.00,7.70,5853.00,5467.00,386.00,6.60,5680.00,5338.00,342.00,6.00,5796.00,5450.00,346.00,6.00,5724.00,5466.00,258.00,4.50,5743.00,5499.00,244.00,4.20,"$45,480",94.40
AL,"Coffee County, AL",21077.00,20275.00,21077.00,20275.00,802.00,3.80,20911.00,19897.00,1014.00,4.80,21436.00,19612.00,1824.00,8.50,21088.00,19271.00,1817.00,8.60,20749.00,19059.00,1690.00,8.10,20612.00,19159.00,1453.00,7.00,20516.00,19105.00,1411.00,6.90,20228.00,18884.00,1344.00,6.60,20279.00,19071.00,1208.00,6.00,20633.00,19424.00,1209.00,5.90,20886.00,19966.00,920.00,4.40,20817.00,19995.00,822.00,3.90,"$51,998",107.90
AL,"Conecuh County, AL",4965.00,4646.00,4965.00,4646.00,319.00,6.40,4878.00,4421.00,457.00,9.40,4908.00,3930.00,978.00,19.90,4991.00,4131.00,860.00,17.20,4785.00,4057.00,728.00,15.20,4635.00,4082.00,553.00,11.90,4695.00,4191.00,504.00,10.70,4716.00,4229.00,487.00,10.30,4683.00,4251.00,432.00,9.20,4556.00,4173.00,383.00,8.40,4487.00,4212.00,275.00,6.10,4494.00,4259.00,235.00,5.20,"$30,796",63.90
AL,"Coosa County, AL",4686.00,4415.00,4686.00,4415.00,271.00,5.80,4659.00,4274.00,385.00,8.30,4593.00,3856.00,737.00,16.00,4654.00,3937.00,717.00,15.40,4477.00,3918.00,559.00,12.50,4445.00,4029.00,416.00,9.40,4452.00,4044.00,408.00,9.20,4467.00,4074.00,393.00,8.80,4428.00,4132.00,296.00,6.70,4387.00,4126.00,261.00,5.90,4380.00,4174.00,206.00,4.70,4376.00,4193.00,183.00,4.20,"$42,442",88.10
AL,"Covington County, AL",17070.00,16409.00,17070.00,16409.00,661.00,3.90,16800.00,15803.00,997.00,5.90,16719.00,14912.00,1807.00,10.80,16417.00,14721.00,1696.00,10.30,16367.00,14764.00,1603.00,9.80,16345.00,14978.00,1367.00,8.40,16066.00,14768.00,1298.00,8.10,15911.00,14674.00,1237.00,7.80,15464.00,14360.00,1104.00,7.10,15519.00,14472.00,1047.00,6.70,15716.00,14895.00,821.00,5.20,15617.00,14902.00,715.00,4.60,"$39,093",81.10
AL,"Crenshaw County, AL",6546.00,6264.00,6546.00,6264.00,282.00,4.30,6464.00,6105.00,359.00,5.60,6439.00,5768.00,671.00,10.40,6285.00,5646.00,639.00,10.20,6432.00,5798.00,634.00,9.90,6251.00,5732.00,519.00,8.30,6311.00,5828.00,483.00,7.70,6298.00,5862.00,436.00,6.90,6358.00,5977.00,381.00,6.00,6463.00,6085.00,378.00,5.80,6403.00,6112.00,291.00,4.50,6298.00,6041.00,257.00,4.10,"$38,419",79.70
AL,"Dale County, AL",20250.00,19450.00,20250.00,19450.00,800.00,4.00,19832.00,18760.00,1072.00,5.40,20033.00,18100.00,1933.00,9.60,22072.00,20124.00,1948.00,8.80,22017.00,20188.00,1829.00,8.30,21370.00,19781.00,1589.00,7.40,20750.00,19220.00,1530.00,7.40,20316.00,18878.00,1438.00,7.10,19846.00,18584.00,1262.00,6.40,19993.00,18839.00,1154.00,5.80,19934.00,19040.00,894.00,4.50,20120.00,19274.00,846.00,4.20,"$42,572",88.30
AL,"Escambia County, AL",14288.00,13530.00,14288.00,13530.00,758.00,5.30,14412.00,13321.00,1091.00,7.60,14762.00,12770.00,1992.00,13.50,15007.00,13238.00,1769.00,11.80,14978.00,13355.00,1623.00,10.80,14732.00,13374.00,1358.00,9.20,14292.00,13065.00,1227.00,8.60,14365.00,13215.00,1150.00,8.00,14604.00,13578.00,1026.00,7.00,14577.00,13611.00,966.00,6.60,14443.00,13721.00,722.00,5.00,14352.00,13696.00,656.00,4.60,"$37,870",78.60
AL,"Fayette County, AL",7387.00,7039.00,7387.00,7039.00,348.00,4.70,7118.00,6604.00,514.00,7.20,6971.00,5993.00,978.00,14.00,6831.00,5942.00,889.00,13.00,6632.00,5896.00,736.00,11.10,6503.00,5943.00,560.00,8.60,6406.00,5875.00,531.00,8.30,6349.00,5851.00,498.00,7.80,6425.00,5974.00,451.00,7.00,6607.00,6163.00,444.00,6.70,6553.00,6243.00,310.00,4.70,6482.00,6215.00,267.00,4.10,"$39,394",81.70
AL,"Franklin County, AL",13742.00,13108.00,13742.00,13108.00,634.00,4.60,13380.00,12387.00,993.00,7.40,13240.00,11463.00,1777.00,13.40,14255.00,12724.00,1531.00,10.70,14362.00,12986.00,1376.00,9.60,13976.00,12806.00,1170.00,8.40,13678.00,12578.00,1100.00,8.00,13714.00,12653.00,1061.00,7.70,13667.00,12788.00,879.00,6.40,13889.00,13074.00,815.00,5.90,13973.00,13374.00,599.00,4.30,14203.00,13673.00,530.00,3.70,"$41,025",85.10
AL,"Geneva County, AL",11535.00,11137.00,11535.00,11137.00,398.00,3.50,11337.00,10717.00,620.00,5.50,11173.00,9970.00,1203.00,10.80,11559.00,10362.00,1197.00,10.40,11486.00,10429.00,1057.00,9.20,11274.00,10421.00,853.00,7.60,11044.00,10276.00,768.00,7.00,10793.00,10071.00,722.00,6.70,10791.00,10152.00,639.00,5.90,10825.00,10200.00,625.00,5.80,10782.00,10313.00,469.00,4.30,10851.00,10425.00,426.00,3.90,"$38,561",80.00
AL,"Greene County, AL",3284.00,3075.00,3284.00,3075.00,209.00,6.40,3280.00,3001.00,279.00,8.50,3131.00,2653.00,478.00,15.30,3306.00,2735.00,571.00,17.30,3226.00,2668.00,558.00,17.30,3125.00,2701.00,424.00,13.60,2997.00,2614.00,383.00,12.80,2985.00,2613.00,372.00,12.50,2879.00,2560.00,319.00,11.10,2876.00,2591.00,285.00,9.90,2851.00,2634.00,217.00,7.60,2838.00,2647.00,191.00,6.70,"$28,108",58.30
AL,"Hale County, AL",6976.00,6602.00,6976.00,6602.00,374.00,5.40,6991.00,6473.00,518.00,7.40,6869.00,5890.00,979.00,14.30,6445.00,5473.00,972.00,15.10,6296.00,5426.00,870.00,13.80,6212.00,5499.00,713.00,11.50,6208.00,5486.00,722.00,11.60,6032.00,5436.00,596.00,9.90,6050.00,5580.00,470.00,7.80,5991.00,5534.00,457.00,7.60,5945.00,5590.00,355.00,6.00,5991.00,5686.00,305.00,5.10,"$34,905",72.40
AL,"Henry County, AL",7540.00,7135.00,7540.00,7135.00,405.00,5.40,7376.00,6807.00,569.00,7.70,7132.00,6334.00,798.00,11.20,7259.00,6469.00,790.00,10.90,7270.00,6563.00,707.00,9.70,7030.00,6447.00,583.00,8.30,6954.00,6421.00,533.00,7.70,6775.00,6267.00,508.00,7.50,6718.00,6262.00,456.00,6.80,6733.00,6295.00,438.00,6.50,6713.00,6385.00,328.00,4.90,6766.00,6466.00,300.00,4.40,"$48,094",99.80
AL,"Lamar County, AL",5854.00,5488.00,5854.00,5488.00,366.00,6.30,5692.00,5237.00,455.00,8.00,5546.00,4658.00,888.00,16.00,5802.00,5035.00,767.00,13.20,5826.00,5260.00,566.00,9.70,5806.00,5369.00,437.00,7.50,5802.00,5394.00,408.00,7.00,5625.00,5232.00,393.00,7.00,5618.00,5263.00,355.00,6.30,5699.00,5379.00,320.00,5.60,5740.00,5498.00,242.00,4.20,5721.00,5503.00,218.00,3.80,"$39,796",82.60
AL,"Lawrence County, AL",15807.00,15160.00,15807.00,15160.00,647.00,4.10,15867.00,14837.00,1030.00,6.50,15788.00,13635.00,2153.00,13.60,14901.00,13024.00,1877.00,12.60,14788.00,13177.00,1611.00,10.90,14391.00,13094.00,1297.00,9.00,14282.00,13093.00,1189.00,8.30,14021.00,12868.00,1153.00,8.20,13679.00,12622.00,1057.00,7.70,13742.00,12795.00,947.00,6.90,13636.00,12961.00,675.00,5.00,13919.00,13336.00,583.00,4.20,"$42,912",89.00
AL,"Lowndes County, AL",4758.00,4400.00,4758.00,4400.00,358.00,7.50,4851.00,4322.00,529.00,10.90,4921.00,3970.00,951.00,19.30,4350.00,3547.00,803.00,18.50,4239.00,3489.00,750.00,17.70,4081.00,3452.00,629.00,15.40,4009.00,3443.00,566.00,14.10,3872.00,3376.00,496.00,12.80,3828.00,3387.00,441.00,11.50,3806.00,3405.00,401.00,10.50,3659.00,3357.00,302.00,8.30,3625.00,3360.00,265.00,7.30,"$33,130",68.70
AL,"Macon County, AL",8865.00,8385.00,8865.00,8385.00,480.00,5.40,9104.00,8426.00,678.00,7.40,9345.00,8203.00,1142.00,12.20,8937.00,7618.00,1319.00,14.80,8512.00,7317.00,1195.00,14.00,8286.00,7397.00,889.00,10.70,8414.00,7603.00,811.00,9.60,8237.00,7486.00,751.00,9.10,7972.00,7330.00,642.00,8.10,7881.00,7282.00,599.00,7.60,7886.00,7429.00,457.00,5.80,7816.00,7389.00,427.00,5.50,"$30,849",64.00
AL,"Marengo County, AL",8150.00,7718.00,8150.00,7718.00,432.00,5.30,7979.00,7389.00,590.00,7.40,8101.00,6950.00,1151.00,14.20,8136.00,7021.00,1115.00,13.70,7875.00,6884.00,991.00,12.60,7650.00,6873.00,777.00,10.20,7634.00,6955.00,679.00,8.90,7623.00,7015.00,608.00,8.00,7407.00,6842.00,565.00,7.60,7684.00,7136.00,548.00,7.10,7694.00,7261.00,433.00,5.60,7589.00,7209.00,380.00,5.00,"$37,469",77.70
AL,"Marion County, AL",12974.00,12297.00,12974.00,12297.00,677.00,5.20,12715.00,11701.00,1014.00,8.00,12361.00,10311.00,2050.00,16.60,13215.00,11423.00,1792.00,13.60,12556.00,11149.00,1407.00,11.20,12451.00,11340.00,1111.00,8.90,12487.00,11499.00,988.00,7.90,12288.00,11317.00,971.00,7.90,12488.00,11621.00,867.00,6.90,12517.00,11690.00,827.00,6.60,12518.00,11914.00,604.00,4.80,12549.00,12036.00,513.00,4.10,"$38,049",79.00
AL,"Monroe County, AL",8945.00,8369.00,8945.00,8369.00,576.00,6.40,8789.00,7896.00,893.00,10.20,8666.00,6978.00,1688.00,19.50,8712.00,7131.00,1581.00,18.10,8325.00,7017.00,1308.00,15.70,7971.00,6971.00,1000.00,12.50,7766.00,6843.00,923.00,11.90,7615.00,6773.00,842.00,11.10,7342.00,6604.00,738.00,10.10,7326.00,6664.00,662.00,9.00,7215.00,6728.00,487.00,6.70,7158.00,6716.00,442.00,6.20,"$36,432",75.60
AL,"Perry County, AL",3543.00,3244.00,3543.00,3244.00,299.00,8.40,3592.00,3186.00,406.00,11.30,3770.00,3021.00,749.00,19.90,3891.00,3236.00,655.00,16.80,3866.00,3227.00,639.00,16.50,3683.00,3192.00,491.00,13.30,3566.00,3083.00,483.00,13.50,3489.00,3066.00,423.00,12.10,3486.00,3138.00,348.00,10.00,3472.00,3115.00,357.00,10.30,3437.00,3168.00,269.00,7.80,3397.00,3175.00,222.00,6.50,"$26,703",55.40
AL,"Pickens County, AL",8015.00,7613.00,8015.00,7613.00,402.00,5.00,7925.00,7359.00,566.00,7.10,8042.00,6942.00,1100.00,13.70,7699.00,6687.00,1012.00,13.10,7570.00,6663.00,907.00,12.00,7467.00,6709.00,758.00,10.20,7420.00,6727.00,693.00,9.30,7760.00,7124.00,636.00,8.20,8011.00,7469.00,542.00,6.80,7779.00,7246.00,533.00,6.90,7718.00,7302.00,416.00,5.40,7805.00,7449.00,356.00,4.60,"$38,379",79.60
AL,"Pike County, AL",15575.00,14947.00,15575.00,14947.00,628.00,4.00,15805.00,15034.00,771.00,4.90,15803.00,14300.00,1503.00,9.50,15677.00,14198.00,1479.00,9.40,15438.00,14070.00,1368.00,8.90,15017.00,13819.00,1198.00,8.00,14924.00,13785.00,1139.00,7.60,14948.00,13846.00,1102.00,7.40,14945.00,13963.00,982.00,6.60,14973.00,14002.00,971.00,6.50,15291.00,14545.00,746.00,4.90,15230.00,14544.00,686.00,4.50,"$40,680",84.40
AL,"Randolph County, AL",9487.00,9005.00,9487.00,9005.00,482.00,5.10,9609.00,8905.00,704.00,7.30,9415.00,8014.00,1401.00,14.90,9706.00,8410.00,1296.00,13.40,9447.00,8374.00,1073.00,11.40,9143.00,8304.00,839.00,9.20,9212.00,8498.00,714.00,7.80,9274.00,8650.00,624.00,6.70,9437.00,8880.00,557.00,5.90,9444.00,8918.00,526.00,5.60,9483.00,9066.00,417.00,4.40,9538.00,9155.00,383.00,4.00,"$41,112",85.30
AL,"Sumter County, AL",4778.00,4466.00,4778.00,4466.00,312.00,6.50,4721.00,4308.00,413.00,8.70,4761.00,4051.00,710.00,14.90,5777.00,5006.00,771.00,13.30,5560.00,4829.00,731.00,13.10,5417.00,4848.00,569.00,10.50,5463.00,4969.00,494.00,9.00,5373.00,4917.00,456.00,8.50,5110.00,4702.00,408.00,8.00,5119.00,4726.00,393.00,7.70,4953.00,4626.00,327.00,6.60,4768.00,4487.00,281.00,5.90,"$26,495",55.00
AL,"Tallapoosa County, AL",18311.00,17340.00,18311.00,17340.00,971.00,5.30,18179.00,16875.00,1304.00,7.20,18149.00,15687.00,2462.00,13.60,19079.00,16579.00,2500.00,13.10,18363.00,16266.00,2097.00,11.40,18441.00,16850.00,1591.00,8.60,18399.00,16909.00,1490.00,8.10,18416.00,17034.00,1382.00,7.50,18748.00,17606.00,1142.00,6.10,18611.00,17575.00,1036.00,5.60,18201.00,17432.00,769.00,4.20,17772.00,17028.00,744.00,4.20,"$44,469",92.30
AL,"Washington County, AL",7002.00,6586.00,7002.00,6586.00,416.00,5.90,6883.00,6302.00,581.00,8.40,6935.00,5889.00,1046.00,15.10,7385.00,6335.00,1050.00,14.20,7106.00,6070.00,1036.00,14.60,6875.00,6054.00,821.00,11.90,6714.00,5985.00,729.00,10.90,6654.00,6015.00,639.00,9.60,6702.00,6105.00,597.00,8.90,6752.00,6172.00,580.00,8.60,6691.00,6237.00,454.00,6.80,6667.00,6278.00,389.00,5.80,"$44,249",91.80
AL,"Wilcox County, AL",3438.00,3106.00,3438.00,3106.00,332.00,9.70,3482.00,2996.00,486.00,14.00,3648.00,2698.00,950.00,26.00,3066.00,2261.00,805.00,26.30,2979.00,2289.00,690.00,23.20,2883.00,2308.00,575.00,19.90,2780.00,2244.00,536.00,19.30,2864.00,2379.00,485.00,16.90,2825.00,2411.00,414.00,14.70,2822.00,2416.00,406.00,14.40,2802.00,2481.00,321.00,11.50,2734.00,2472.00,262.00,9.60,"$25,700",53.30
AL,"Winston County, AL",10287.00,9712.00,10287.00,9712.00,575.00,5.60,9984.00,9120.00,864.00,8.70,9519.00,7832.00,1687.00,17.70,9883.00,8304.00,1579.00,16.00,9819.00,8492.00,1327.00,13.50,9607.00,8647.00,960.00,10.00,9644.00,8737.00,907.00,9.40,9630.00,8802.00,828.00,8.60,9379.00,8673.00,706.00,7.50,9548.00,8872.00,676.00,7.10,9693.00,9203.00,490.00,5.10,9781.00,9371.00,410.00,4.20,"$38,562",80.00
AK,"Aleutians East Borough, AK",1094.00,1007.00,1094.00,1007.00,87.00,8.00,1144.00,1045.00,99.00,8.70,1133.00,1021.00,112.00,9.90,2031.00,1917.00,114.00,5.60,2183.00,2048.00,135.00,6.20,2138.00,1993.00,145.00,6.80,2217.00,2083.00,134.00,6.00,2225.00,2125.00,100.00,4.50,2477.00,2397.00,80.00,3.20,2587.00,2517.00,70.00,2.70,2538.00,2474.00,64.00,2.50,2321.00,2252.00,69.00,3.00,"$69,375",93.70
AK,"Aleutians West Census Area, AK",3085.00,2917.00,3085.00,2917.00,168.00,5.40,3061.00,2883.00,178.00,5.80,3005.00,2794.00,211.00,7.00,3955.00,3755.00,200.00,5.10,4255.00,4007.00,248.00,5.80,4268.00,3972.00,296.00,6.90,4272.00,3976.00,296.00,6.90,4475.00,4260.00,215.00,4.80,4066.00,3909.00,157.00,3.90,3978.00,3846.00,132.00,3.30,3737.00,3599.00,138.00,3.70,3615.00,3487.00,128.00,3.50,"$80,290",108.40
AK,"Bethel Census Area, AK",6951.00,6062.00,6951.00,6062.00,889.00,12.80,6935.00,5972.00,963.00,13.90,7031.00,6039.00,992.00,14.10,7161.00,6114.00,1047.00,14.60,7221.00,6137.00,1084.00,15.00,7211.00,6103.00,1108.00,15.40,7424.00,6224.00,1200.00,16.20,7305.00,6131.00,1174.00,16.10,7366.00,6306.00,1060.00,14.40,7246.00,6214.00,1032.00,14.20,7358.00,6366.00,992.00,13.50,7400.00,6455.00,945.00,12.80,"$45,582",61.50
AK,"Bristol Bay Borough, AK",1064.00,1014.00,1064.00,1014.00,50.00,4.70,1009.00,960.00,49.00,4.90,1045.00,995.00,50.00,4.80,505.00,456.00,49.00,9.70,518.00,472.00,46.00,8.90,481.00,434.00,47.00,9.80,491.00,448.00,43.00,8.80,497.00,457.00,40.00,8.00,382.00,346.00,36.00,9.40,413.00,384.00,29.00,7.00,421.00,395.00,26.00,6.20,441.00,413.00,28.00,6.30,"$70,094",94.60
AK,"Denali Borough, AK",1602.00,1502.00,1602.00,1502.00,100.00,6.20,1606.00,1508.00,98.00,6.10,1412.00,1295.00,117.00,8.30,1011.00,891.00,120.00,11.90,1018.00,879.00,139.00,13.70,1047.00,903.00,144.00,13.80,1078.00,943.00,135.00,12.50,1072.00,961.00,111.00,10.40,1071.00,977.00,94.00,8.80,1094.00,995.00,99.00,9.00,1149.00,1046.00,103.00,9.00,1088.00,1003.00,85.00,7.80,"$73,220",98.90
AK,"Dillingham Census Area, AK",2045.00,1858.00,2045.00,1858.00,187.00,9.10,2068.00,1875.00,193.00,9.30,2152.00,1933.00,219.00,10.20,2089.00,1878.00,211.00,10.10,2106.00,1883.00,223.00,10.60,2132.00,1921.00,211.00,9.90,2134.00,1916.00,218.00,10.20,2119.00,1906.00,213.00,10.10,2042.00,1844.00,198.00,9.70,2077.00,1877.00,200.00,9.60,2052.00,1869.00,183.00,8.90,2027.00,1861.00,166.00,8.20,"$52,641",71.10
AK,"Haines Borough, AK",1446.00,1339.00,1446.00,1339.00,107.00,7.40,1358.00,1238.00,120.00,8.80,1416.00,1288.00,128.00,9.00,1150.00,1028.00,122.00,10.60,1167.00,1050.00,117.00,10.00,1108.00,997.00,111.00,10.00,1142.00,1026.00,116.00,10.20,1113.00,994.00,119.00,10.70,1087.00,980.00,107.00,9.80,1074.00,964.00,110.00,10.20,1082.00,986.00,96.00,8.90,1092.00,988.00,104.00,9.50,"$53,413",72.10
AK,"Juneau Borough/city, AK",18459.00,17626.00,18459.00,17626.00,833.00,4.50,18784.00,17882.00,902.00,4.80,18393.00,17309.00,1084.00,5.90,17903.00,16848.00,1055.00,5.90,17907.00,16913.00,994.00,5.60,17904.00,16991.00,913.00,5.10,17589.00,16702.00,887.00,5.00,17460.00,16578.00,882.00,5.10,17095.00,16289.00,806.00,4.70,17338.00,16559.00,779.00,4.50,17276.00,16478.00,798.00,4.60,17232.00,16470.00,762.00,4.40,"$90,436",122.10
AK,"Ketchikan Gateway Borough, AK",8222.00,7757.00,8222.00,7757.00,465.00,5.70,8297.00,7805.00,492.00,5.90,8331.00,7738.00,593.00,7.10,7123.00,6501.00,622.00,8.70,7180.00,6560.00,620.00,8.60,7177.00,6594.00,583.00,8.10,7168.00,6606.00,562.00,7.80,7107.00,6548.00,559.00,7.90,6965.00,6485.00,480.00,6.90,7026.00,6566.00,460.00,6.50,7095.00,6659.00,436.00,6.10,7026.00,6604.00,422.00,6.00,"$71,298",96.30
AK,"Kodiak Island Borough, AK",6141.00,5756.00,6141.00,5756.00,385.00,6.30,6399.00,5961.00,438.00,6.80,6603.00,6131.00,472.00,7.10,6470.00,5993.00,477.00,7.40,6783.00,6281.00,502.00,7.40,6717.00,6268.00,449.00,6.70,6594.00,6183.00,411.00,6.20,6581.00,6208.00,373.00,5.70,6622.00,6303.00,319.00,4.80,6416.00,6086.00,330.00,5.10,6316.00,5999.00,317.00,5.00,6210.00,5848.00,362.00,5.80,"$71,118",96.00
